operator_id,inbound_calls,outbound_calls,missed_inbound_calls,answered_inbound_calls,avg_call_duration,avg_total_call_duration,avg_wait_time,inbound_attempts,pct_missed_calls,total_calls_handled,low_outbound_activity
879896,58,872,0,58,545.8290598290598,650.7435897435897,27.333333333333332,58,0.0,930,False
879898,104,7209,0,104,1133.8810572687225,1591.5770925110132,29.473684210526315,104,0.0,7313,False
880020,7,38,0,7,112.25,126.25,7.714285714285714,7,0.0,45,True
880022,8,189,0,8,216.38571428571427,270.35714285714283,14.0,8,0.0,197,True
880026,24,2208,0,24,842.4505494505495,964.4285714285714,7.944444444444445,24,0.0,2232,False
880028,63,2497,0,63,726.7524752475248,936.9306930693069,8.365853658536585,63,0.0,2560,False
880240,0,47,0,0,320.6666666666667,368.0,,0,,47,True
881278,0,20,0,0,58.125,67.875,,0,,20,True
882476,3,0,0,3,64.0,95.66666666666667,31.666666666666668,3,0.0,3,False
882478,3,1,0,3,22.666666666666668,50.333333333333336,38.0,3,0.0,4,True
882680,99,0,3,96,142.02325581395348,179.02325581395348,37.0,99,0.030303030303030304,99,False
882684,613,661,4,609,1407.2987012987012,1535.7792207792209,190.52,613,0.0065252854812398045,1274,False
882686,766,2884,6,760,1635.7901785714287,1924.5535714285713,165.75,766,0.007832898172323759,3650,False
882688,15,43,0,15,646.6666666666666,803.7777777777778,336.5,15,0.0,58,True
882690,171,1417,2,169,2104.253968253968,2686.0158730158732,322.8181818181818,171,0.011695906432748537,1588,False
883018,0,2,0,0,0.0,15.0,,0,,2,True
883898,0,1,0,0,70.0,80.0,,0,,1,True
883940,6,632,0,6,599.1388888888889,901.1666666666666,15.2,6,0.0,638,False
883942,77,2030,0,77,937.1140939597316,1126.6174496644296,15.514285714285714,77,0.0,2107,False
884294,1,0,0,1,5.0,11.0,6.0,1,0.0,1,False
884402,0,4,0,0,71.33333333333333,95.66666666666667,,0,,4,True
884406,0,3,0,0,4.0,39.5,,0,,3,True
884408,35,25,4,31,87.04,148.48,66.0,35,0.11428571428571428,60,True
884412,18,748,0,18,405.3185840707965,543.0265486725664,46.875,18,0.0,766,False
884478,22,2270,0,22,582.9764705882353,1010.4,26.916666666666668,22,0.0,2292,False
884524,2,0,0,2,25.0,34.5,9.5,2,0.0,2,False
884946,12,1847,0,12,496.1829268292683,976.9268292682926,22.714285714285715,12,0.0,1859,False
885682,0,3,0,0,0.0,17.0,,0,,3,True
885876,992,58437,20,972,15420.328621908127,20258.787985865725,100.18888888888888,992,0.020161290322580645,59429,False
885890,1244,58977,26,1218,13204.703557312252,18908.268774703556,120.27659574468085,1244,0.02090032154340836,60221,False
886146,1,49,0,1,348.0,412.8235294117647,9.0,1,0.0,50,True
886674,11,0,0,11,18.444444444444443,37.111111111111114,18.666666666666668,11,0.0,11,False
886892,2,0,0,2,72.0,130.0,58.0,2,0.0,2,False
887276,431,896,3,428,448.77153558052436,543.561797752809,176.2173913043478,431,0.0069605568445475635,1327,False
887278,52,256,0,52,291.1313131313131,326.75757575757575,37.458333333333336,52,0.0,308,True
887280,0,8,0,0,5.166666666666667,8.5,,0,,8,True
887282,28,2327,0,28,1512.0267857142858,1815.142857142857,62.45,28,0.0,2355,False
887416,18,0,0,18,202.36363636363637,229.72727272727272,27.363636363636363,18,0.0,18,False
887802,16,121,0,16,165.51724137931035,194.86206896551724,34.833333333333336,16,0.0,137,True
887992,0,47,0,0,161.83333333333334,275.1666666666667,,0,,47,True
888406,9,6,1,8,56.92307692307692,82.15384615384616,36.42857142857143,9,0.1111111111111111,15,True
888520,6,0,0,6,231.6,250.4,18.8,6,0.0,6,False
888532,12,188,2,10,117.90588235294118,142.69411764705882,32.111111111111114,12,0.16666666666666666,200,True
888534,61,315,2,59,134.8955223880597,171.7462686567164,48.77777777777778,61,0.03278688524590164,376,True
888536,2,52,0,2,39.935483870967744,59.41935483870968,21.5,2,0.0,54,True
888538,1,5,0,1,152.66666666666666,169.5,24.0,1,0.0,6,True
888540,3,14,0,3,130.73333333333332,146.73333333333332,19.666666666666668,3,0.0,17,True
888868,20,52,1,19,200.80645161290323,250.06451612903226,31.0,20,0.05,72,True
889410,439,1015,0,439,312.88429752066116,398.1322314049587,35.151898734177216,439,0.0,1454,False
889638,4,0,0,4,14.666666666666666,34.0,19.333333333333332,4,0.0,4,False
