operator_id,inbound_attempts,inbound_records,total_inbound_wait_seconds,active_inbound_days,missed_inbound_calls,missed_inbound_rate,avg_inbound_wait_per_call_seconds,share_total_missed_calls,active_inbound_weeks,above_10pct_project_reference,exploratory_30plus_calls_view,outbound_calls,outbound_records,active_outbound_days,active_outbound_weeks,outbound_calls_per_active_day,total_assigned_calls,inbound_call_share,outbound_call_share
879896,58.0,21.0,574.0,21.0,0.0,0.0,9.89655172413793,0.0,9.0,False,True,872.0,96.0,49.0,15.0,17.79591836734694,930.0,0.06236559139784946,0.9376344086021505
879898,104.0,57.0,1680.0,56.0,0.0,0.0,16.153846153846153,0.0,17.0,False,True,7209.0,170.0,82.0,18.0,87.91463414634147,7313.0,0.014221249829071516,0.9857787501709285
880020,7.0,7.0,54.0,7.0,0.0,0.0,7.714285714285714,0.0,4.0,False,False,38.0,13.0,7.0,3.0,5.428571428571429,45.0,0.15555555555555556,0.8444444444444444
880022,8.0,8.0,112.0,8.0,0.0,0.0,14.0,0.0,5.0,False,False,189.0,62.0,36.0,12.0,5.25,197.0,0.04060913705583756,0.9593908629441624
880026,24.0,18.0,143.0,18.0,0.0,0.0,5.958333333333333,0.0,14.0,False,False,2208.0,164.0,77.0,17.0,28.675324675324674,2232.0,0.010752688172043012,0.989247311827957
880028,63.0,41.0,343.0,41.0,0.0,0.0,5.444444444444445,0.0,16.0,False,True,2497.0,161.0,78.0,17.0,32.01282051282051,2560.0,0.024609375,0.975390625
880240,0.0,,,,0.0,,,,,,,47.0,12.0,7.0,3.0,6.714285714285714,47.0,0.0,1.0
881278,0.0,,,,0.0,,,,,,,20.0,8.0,5.0,5.0,4.0,20.0,0.0,1.0
882476,3.0,3.0,95.0,3.0,0.0,0.0,31.666666666666668,0.0,3.0,False,False,0.0,,,,,3.0,1.0,0.0
882478,3.0,2.0,76.0,1.0,0.0,0.0,25.333333333333332,0.0,1.0,False,False,1.0,1.0,1.0,1.0,1.0,4.0,0.75,0.25
882680,99.0,43.0,1591.0,40.0,3.0,0.030303030303030304,16.07070707070707,0.0032397408207343412,16.0,False,True,0.0,,,,,99.0,1.0,0.0
